id,name,lon,lat
3247,"47th & Aspen, Lucien Blackwell",-75.21514,39.96538
3248,24th & Christian,-75.18335,39.94213
3249,34th & Arch,-75.19079,39.95784
3250,4th & Wood,-75.14575,39.95673
3251,29th & Tasker,-75.19319,39.93366
3252,30th & Oakford,-75.19324,39.93882
3253,"26th & Moore, Vare Recreation Center",-75.18924,39.93074
3254,16th & Montgomery,-75.16065,39.98091
3255,Broad & Chestnut,-75.16438,39.95095
3256,23rd & Chestnut,-75.17779,39.95269
3258,52nd & Chestnut,-75.22424,39.95828
3259,Saunders & Pearl,-75.19883,39.95998
3261,2nd & Brown,-75.14099,39.96304
3263,43rd & Powelton,-75.2081,39.9586
3264,8th & Spruce,-75.15508,39.94571
3265,Powelton & Lancaster,-75.19633,39.95957
3266,Water & Mifflin,-75.14701,39.9237
3267,19th & Oregon,-75.1796,39.918
3268,10th & Oxford,-75.15101,39.97633
3271,53rd & Baltimore,-75.22946,39.9476
3272,50th & Haverford,-75.22048,39.96405
3275,York & Aramingo,-75.12157,39.97576
3276,12th & Fairmount,-75.15679,39.96569
3277,20th & Berks,-75.16738,39.98306
3278,22nd & Sedgley,-75.1681,39.99301
3279,13th & Mifflin,-75.1668,39.9265
3280,50th & Woodland,-75.21362,39.93968
3281,Lindbergh & Wheeler,-75.2162,39.9323
3282,10th & Nevada,-75.14925,39.98628
3284,Midvale & Cresson,-75.19287,40.01112
3285,5th & Willow,-75.14745,39.95946
3286,6th & Brown,-75.14769,39.96409
3287,49th & Chester,-75.21606,39.94367
3291,Ridge & Heritage,-75.197,40.01022
3292,5th & Wolf,-75.1562,39.92
3294,18th & Chestnut,-75.17063,39.95174
3295,12th & Chestnut,-75.16027,39.95028
3296,16th & Chestnut,-75.16758,39.95134
3297,18th & Vine,-75.16901,39.95821
3298,42nd & Woodland,-75.20691,39.94717
3299,9th & Lombard,-75.15698,39.94332
3300,Broad & Cherry,-75.16287,39.95511
3301,18th & Walnut,-75.17126,39.95029
3303,41st & Chestnut,-75.2053,39.9559
3304,7th & South,-75.15399,39.94234
3305,22nd & Lehigh,-75.1671,39.99569
3306,28th & Lehigh,-75.17761,39.99683
3307,27th & Clearfield,-75.174,40.0028
3310,Oxford & Glenwood,-75.18651,39.98024
3313,10th & Oregon,-75.1643,39.9158
3314,Front & Queen,-75.14492,39.93682
3315,48th & Woodland,-75.21138,39.94235
3316,16th & Wolf,-75.17337,39.92255
3318,City Hall South,-75.16395,39.95182
3319,Penn Treaty Park,-75.12964,39.96672
3320,Broad & Master,-75.15917,39.9746
3321,20th & Cuthbert,-75.17298,39.95485
3322,7th & Passyunk,-75.15526,39.93638
3323,Manayunk Bridge,-75.2277,40.02796
3324,"Kelly Drive, Strawberry Mansion Bridge",-75.19242,39.99484
3325,Cedar & Norris,-75.12764,39.9768
3326,"M.L.K. Drive, Strawberry Mansion Bridge",-75.19944,39.99198
3327,York & Gaul,-75.12442,39.97759
3328,Kelly Drive Grandstand,-75.1995,39.98798
3329,Cresson & Levering,-75.22445,40.02651
3331,Girard & Palmer,-75.12813,39.97116
3332,32nd & Allegheny,-75.18143,40.00537
3333,18th & JFK Curbside,-75.16965,39.9541
3334,7th & Dickinson,-75.15636,39.9302
3335,Main & Shurs,-75.218,40.02237
3336,36th & Filbert,-75.19388,39.95719
3337,6th & Master,-75.14612,39.97318
3338,54th & Cedar,-75.23035,39.95098
3340,27th & Pennsylvania,-75.18169,39.96906
3341,York & Trenton,-75.12732,39.98131
3342,22nd & Spring Garden,-75.17385,39.9639
3344,56th & Chestnut,-75.23354,39.95961
3345,5th & Spring Garden,-75.14667,39.9617
3346,6th & Chestnut,-75.15097,39.94883
3347,9th & Race,-75.15449,39.95484
3349,25th & Wharton,-75.18621,39.93651
3350,Broad & Lehigh,-75.15527,39.99415
3351,12th & Cambria,-75.14991,39.99655
3352,Broad & Allegheny,-75.15256,40.00143
3353,"Broad & Ontario, Temple Hospital",-75.15233,40.00496
3354,58th & Spruce,-75.2387,39.95628
3356,12th & Normandy,-75.17187,39.89322
3357,10th & Packer,-75.16588,39.9104
3359,17th & Locust,-75.16978,39.94888
3360,Broad & Reed,-75.16822,39.93304
3361,"18th & Fernon, Aquinas Center",-75.17474,39.93082
3362,13th & Locust,-75.16226,39.94816
3363,13th & Spruce,-75.16263,39.94655
3365,"32nd & Baring, Drexel Park",-75.18788,39.96173
3368,23rd & Master,-75.17362,39.97647
3369,Ridge & Ferry,-75.19194,40.00772
3370,Pencoyd Bridge,-75.21241,40.0163
3371,9th & Arch,-75.1543,39.9534
3372,24th & Jackson,-75.18672,39.92528
3373,11th & Wood,-75.15668,39.95817
3374,26th & Poplar,-75.17971,39.9728
3375,"Spring Garden Station, MFL",-75.1402,39.96036
3376,Thompson & Franklin,-75.14878,39.97183
3378,4th & Arch,-75.14728,39.95238
3381,48th & Baltimore,-75.21807,39.94845
3382,Walnut & Rittenhouse,-75.17309,39.95038
3383,"3rd & Wildey, Liberty Lands Park",-75.14222,39.96634
3385,8th & Chestnut,-75.15424,39.94974
3387,6th & Girard,-75.14666,39.97012
3388,8th & Brown,-75.15097,39.96634
3389,Grays Ferry & Pemberton,-75.18128,39.94431
3390,"52nd St Station, MFL ",-75.2244,39.96
3391,54th & City Ave,-75.23482,39.99667
3392,30th & Reed,-75.19447,39.93633
3393,2nd & George,-75.13999,39.96727
3394,Broad & Snyder,-75.16959,39.924
3395,12th & Carpenter,-75.16351,39.93866
3396,21st & Passyunk,-75.1821,39.92327
3397,21st & Washington,-75.17824,39.93906
3398,4th & Oregon,-75.15474,39.91551
3399,American & Oxford,-75.14006,39.97502
3400,12th & Walnut,-75.16081,39.949
3403,Wynnefield Station,-75.22528,39.99153
3404,57th & Master,-75.23491,39.97347
3405,Fitzwater & Juniper,-75.16502,39.94167
3407,American & Berks,-75.13911,39.9785
3408,2nd & Snyder,-75.15,39.9216
3409,"7th & Race, Franklin Square",-75.15128,39.95508
3410,"51st & Regent, Kingsessing Library",-75.21838,39.94201
3411,57th & Westminster ,-75.23359,39.96693
3412,Cobbs Creek & Florence,-75.23373,39.93771
3413,47th & Lancaster,-75.21596,39.97115
3414,54th & Chester,-75.22347,39.93922
3417,Germantown & Huntingdon,-75.14808,39.99146
3421,Moyamensing & Ritner,-75.16408,39.91972
3422,JFK Blvd at Schuylkill Yards,-75.18647,39.95619
3423,"Ridge & Pensdale, Kendrick Recreation Center",-75.21106,40.02826
3425,"York-Dauphin Station, MFL",-75.13255,39.9849
3426,58th & Kingsessing,-75.22764,39.93448
3427,"Aramingo & Huntingdon, Aramingo Square",-75.11844,39.97961
3428,57th & Diamond,-75.23722,39.98707
3430,27th & Girard,-75.1801,39.97408
3431,62nd & Market,-75.24522,39.96239
3432,"Manayunk & Conarroe, Fairview Park",-75.21983,40.03055
3434,"Frankford & Columbia, Palmer Park",-75.13286,39.97487
3435,Huntingdon & Collins,-75.12348,39.98451
3436,Allegheny & Richmond,-75.10121,39.98287
3437,Schuylkill & Wharton,-75.20336,39.93931
3438,"Cedar & Cambria, Cohocksink Recreation Center",-75.11304,39.98421
3439,"Lehigh & B, Temple Episcopal Hospital",-75.12759,39.99033
3440,Almond & Indiana,-75.10836,39.98306
3441,22nd & Hamilton,-75.17454,39.96305
3442,Kensington & F,-75.11791,39.99426
3443,Terrace & Hermit,-75.21339,40.02155
3444,23rd & Venango,-75.16596,40.00959
3445,Frankford & Crease,-75.13426,39.97235
3446,Overbrook Station,-75.249,39.9906
3447,2nd & Market,-75.14467,39.95009
3448,Broad & Christian East,-75.16604,39.93995
3449,6th & S Washington Sq,-75.15138,39.94628
